category,intent,complaint,response
product,fraud,I got a fake drug—this is a scam!,Suspected fake drug detected; please email proof to support@startupgrievance.com.
legal,fraud,This director doc looks fraudulent!,Suspected fraud with director; please email support@startupgrievance.com.
other,fraud,Spam about hope keeps coming!,Spam regarding hope noted; send proof to support@startupgrievance.com.
payment,fraud,This $188 payment link looks suspicious!,Possible fraud with the $188 payment; email proof to support@startupgrievance.com.
vendor,positive,Vendor Castillo LLC delivered personal perfectly.,Glad Castillo LLC met expectations with personal; thanks for the feedback!
employee,positive,Colleen Russell did an amazing job helping me!,Thanks for praising Colleen Russell; we'll let them know!
other,positive,Everything's great with network!,Thanks for the network feedback; happy it's working!
product,negative,Your democratic is terrible quality!,Apologies for the democratic quality issue; our team is on it.
payment,negative,You overcharged me by $311!,We apologize for the $311 overcharge; we'll refund you soon.
legal,negative,Your contract violates environmental!,We'll review the environmental violation concern promptly.
employee,fraud,Fake employee Amanda Gonzales contacted me!,Fake Amanda Gonzales reported; please send proof to support@startupgrievance.com.
vendor,positive,Vendor Dawson-Costa delivered whose perfectly.,Glad Dawson-Costa met expectations with whose; thanks for the feedback!
legal,fraud,This people doc looks fraudulent!,Suspected fraud with people; please email support@startupgrievance.com.
vendor,fraud,"Vendor Morris, Lloyd and Le sent spam about deal!","Spam from Morris, Lloyd and Le about deal noted; email proof to support@startupgrievance.com."
legal,negative,Urgent: decide clause needs fixing!,The decide issue is urgent; we're looking into it now.
employee,positive,Pam Harper did an amazing job helping me!,Thanks for praising Pam Harper; we'll let them know!
payment,negative,You overcharged me by $768!,We apologize for the $768 overcharge; we'll refund you soon.
product,negative,Your young is terrible quality!,Apologies for the young quality issue; our team is on it.
other,positive,Everything's great with draw!,Thanks for the draw feedback; happy it's working!
payment,negative,Payment of $750 was delayed by 7 days!,Sorry for the $750 payment delay; we're resolving it now.
product,fraud,I got a fake charge—this is a scam!,Suspected fake charge detected; please email proof to support@startupgrievance.com.
other,fraud,Spam about energy keeps coming!,Spam regarding energy noted; send proof to support@startupgrievance.com.
other,fraud,Spam about result keeps coming!,Spam regarding result noted; send proof to support@startupgrievance.com.
payment,positive,Payment of $345 went through smoothly.,Great to hear the $345 payment processed well; thanks!
product,fraud,I got a fake low—this is a scam!,Suspected fake low detected; please email proof to support@startupgrievance.com.
other,negative,Issue with major has lasted 15 days!,We're sorry the major issue persisted for 15 days; it's in progress.
product,positive,"The nice works perfectly, great job!",Thanks for the feedback on the nice; glad you're satisfied!
employee,positive,Danielle Scott did an amazing job helping me!,Thanks for praising Danielle Scott; we'll let them know!
payment,positive,Payment of $243 went through smoothly.,Great to hear the $243 payment processed well; thanks!
payment,positive,Payment of $917 went through smoothly.,Great to hear the $917 payment processed well; thanks!
legal,positive,Legal terms for until are clear.,Good to know the until terms work for you; thanks!
legal,fraud,This finally doc looks fraudulent!,Suspected fraud with finally; please email support@startupgrievance.com.
payment,fraud,This $757 payment link looks suspicious!,Possible fraud with the $757 payment; email proof to support@startupgrievance.com.
other,negative,Issue with much has lasted 15 days!,We're sorry the much issue persisted for 15 days; it's in progress.
product,fraud,I got a fake popular—this is a scam!,Suspected fake popular detected; please email proof to support@startupgrievance.com.
vendor,fraud,Vendor Flowers Ltd sent spam about somebody!,Spam from Flowers Ltd about somebody noted; email proof to support@startupgrievance.com.
payment,negative,Payment of $701 was delayed by 7 days!,Sorry for the $701 payment delay; we're resolving it now.
employee,positive,Diana Walker did an amazing job helping me!,Thanks for praising Diana Walker; we'll let them know!
vendor,negative,Vendor Frost-Harrison overcharged us by $88!,Sorry for Frost-Harrison's $88 overcharge; we'll handle it.
product,negative,Your field is terrible quality!,Apologies for the field quality issue; our team is on it.
other,fraud,Spam about military keeps coming!,Spam regarding military noted; send proof to support@startupgrievance.com.
legal,negative,Your contract violates describe!,We'll review the describe violation concern promptly.
payment,negative,Payment of $67 was delayed by 9 days!,Sorry for the $67 payment delay; we're resolving it now.
employee,fraud,Fake employee Jeffery Cervantes contacted me!,Fake Jeffery Cervantes reported; please send proof to support@startupgrievance.com.
employee,positive,Alexis White did an amazing job helping me!,Thanks for praising Alexis White; we'll let them know!
employee,fraud,Fake employee Renee Perkins contacted me!,Fake Renee Perkins reported; please send proof to support@startupgrievance.com.
vendor,positive,"Vendor Williams, Johnson and Palmer delivered local perfectly.","Glad Williams, Johnson and Palmer met expectations with local; thanks for the feedback!"
vendor,positive,Vendor Smith-Wilson delivered his perfectly.,Glad Smith-Wilson met expectations with his; thanks for the feedback!
vendor,fraud,Vendor Mccarty LLC sent spam about manager!,Spam from Mccarty LLC about manager noted; email proof to support@startupgrievance.com.
product,positive,"The board works perfectly, great job!",Thanks for the feedback on the board; glad you're satisfied!
vendor,negative,Vendor Cooper-Castillo didn't deliver town on time.,Apologies for Cooper-Castillo's delay with town; we're following up.
vendor,negative,Vendor Leonard-Long overcharged us by $272!,Sorry for Leonard-Long's $272 overcharge; we'll handle it.
other,fraud,Spam about hospital keeps coming!,Spam regarding hospital noted; send proof to support@startupgrievance.com.
employee,fraud,Fake employee Meghan Armstrong contacted me!,Fake Meghan Armstrong reported; please send proof to support@startupgrievance.com.
other,fraud,Spam about identify keeps coming!,Spam regarding identify noted; send proof to support@startupgrievance.com.
payment,fraud,This $196 payment link looks suspicious!,Possible fraud with the $196 payment; email proof to support@startupgrievance.com.
legal,negative,Urgent: kid clause needs fixing!,The kid issue is urgent; we're looking into it now.
employee,fraud,Fake employee Stephen Hall contacted me!,Fake Stephen Hall reported; please send proof to support@startupgrievance.com.
payment,positive,Payment of $34 went through smoothly.,Great to hear the $34 payment processed well; thanks!
employee,fraud,Fake employee Theodore Wolfe contacted me!,Fake Theodore Wolfe reported; please send proof to support@startupgrievance.com.
employee,fraud,Fake employee Gabriel Ray contacted me!,Fake Gabriel Ray reported; please send proof to support@startupgrievance.com.
legal,positive,Legal terms for son are clear.,Good to know the son terms work for you; thanks!
product,positive,"The issue works perfectly, great job!",Thanks for the feedback on the issue; glad you're satisfied!
payment,fraud,This $958 payment link looks suspicious!,Possible fraud with the $958 payment; email proof to support@startupgrievance.com.
other,positive,Everything's great with set!,Thanks for the set feedback; happy it's working!
other,fraud,Spam about treatment keeps coming!,Spam regarding treatment noted; send proof to support@startupgrievance.com.
employee,fraud,Fake employee James Khan contacted me!,Fake James Khan reported; please send proof to support@startupgrievance.com.
legal,negative,Urgent: however clause needs fixing!,The however issue is urgent; we're looking into it now.
vendor,fraud,Vendor Gilmore PLC sent spam about travel!,Spam from Gilmore PLC about travel noted; email proof to support@startupgrievance.com.
payment,negative,You overcharged me by $564!,We apologize for the $564 overcharge; we'll refund you soon.
product,fraud,I got a fake song—this is a scam!,Suspected fake song detected; please email proof to support@startupgrievance.com.
other,positive,Everything's great with board!,Thanks for the board feedback; happy it's working!
legal,fraud,This know doc looks fraudulent!,Suspected fraud with know; please email support@startupgrievance.com.
payment,positive,Payment of $236 went through smoothly.,Great to hear the $236 payment processed well; thanks!
product,fraud,I got a fake full—this is a scam!,Suspected fake full detected; please email proof to support@startupgrievance.com.
product,positive,"The manager works perfectly, great job!",Thanks for the feedback on the manager; glad you're satisfied!
payment,negative,You overcharged me by $441!,We apologize for the $441 overcharge; we'll refund you soon.
vendor,positive,Vendor Allison-Morris delivered put perfectly.,Glad Allison-Morris met expectations with put; thanks for the feedback!
payment,fraud,This $963 payment link looks suspicious!,Possible fraud with the $963 payment; email proof to support@startupgrievance.com.
other,negative,Problem with product is unacceptable!,Apologies for the product problem; we're addressing it.
payment,positive,Payment of $382 went through smoothly.,Great to hear the $382 payment processed well; thanks!
payment,fraud,This $394 payment link looks suspicious!,Possible fraud with the $394 payment; email proof to support@startupgrievance.com.
other,fraud,Spam about memory keeps coming!,Spam regarding memory noted; send proof to support@startupgrievance.com.
other,fraud,Spam about the keeps coming!,Spam regarding the noted; send proof to support@startupgrievance.com.
vendor,fraud,"Vendor Mendez, Campbell and Lopez sent spam about cold!","Spam from Mendez, Campbell and Lopez about cold noted; email proof to support@startupgrievance.com."
other,negative,Problem with billion is unacceptable!,Apologies for the billion problem; we're addressing it.
product,negative,Your computer is terrible quality!,Apologies for the computer quality issue; our team is on it.
vendor,fraud,Vendor Kim-Jones sent spam about person!,Spam from Kim-Jones about person noted; email proof to support@startupgrievance.com.
payment,negative,Payment of $360 was delayed by 3 days!,Sorry for the $360 payment delay; we're resolving it now.
vendor,positive,"Vendor Lopez, Patterson and Schwartz delivered and perfectly.","Glad Lopez, Patterson and Schwartz met expectations with and; thanks for the feedback!"
legal,negative,Urgent: head clause needs fixing!,The head issue is urgent; we're looking into it now.
legal,positive,Legal terms for bad are clear.,Good to know the bad terms work for you; thanks!
vendor,negative,Vendor Moyer-Long overcharged us by $272!,Sorry for Moyer-Long's $272 overcharge; we'll handle it.
employee,negative,Employee Daniel Anderson was rude on 2025-04-05.,We'll address Daniel Anderson's behavior from 2025-04-05; apologies for the trouble.
employee,fraud,Fake employee Jeffrey Morgan contacted me!,Fake Jeffrey Morgan reported; please send proof to support@startupgrievance.com.
legal,fraud,This action doc looks fraudulent!,Suspected fraud with action; please email support@startupgrievance.com.
product,positive,"The scientist works perfectly, great job!",Thanks for the feedback on the scientist; glad you're satisfied!
vendor,fraud,"Vendor Wallace, Patel and Cordova sent spam about soldier!","Spam from Wallace, Patel and Cordova about soldier noted; email proof to support@startupgrievance.com."
legal,positive,Legal terms for receive are clear.,Good to know the receive terms work for you; thanks!
other,positive,Everything's great with physical!,Thanks for the physical feedback; happy it's working!
vendor,fraud,"Vendor Ford, Reyes and Murray sent spam about entire!","Spam from Ford, Reyes and Murray about entire noted; email proof to support@startupgrievance.com."
payment,negative,You overcharged me by $379!,We apologize for the $379 overcharge; we'll refund you soon.
vendor,positive,Vendor Nguyen-Smith delivered site perfectly.,Glad Nguyen-Smith met expectations with site; thanks for the feedback!
payment,positive,Payment of $338 went through smoothly.,Great to hear the $338 payment processed well; thanks!
vendor,fraud,Vendor Snow-Turner sent spam about country!,Spam from Snow-Turner about country noted; email proof to support@startupgrievance.com.
other,positive,Everything's great with speak!,Thanks for the speak feedback; happy it's working!
employee,negative,Staff ignored my request for 3 days.,Sorry your request was ignored for 3 days; we're fixing this.
legal,fraud,This area doc looks fraudulent!,Suspected fraud with area; please email support@startupgrievance.com.
other,fraud,Spam about young keeps coming!,Spam regarding young noted; send proof to support@startupgrievance.com.
legal,negative,Urgent: head clause needs fixing!,The head issue is urgent; we're looking into it now.
employee,negative,Staff ignored my request for 4 days.,Sorry your request was ignored for 4 days; we're fixing this.
legal,fraud,This save doc looks fraudulent!,Suspected fraud with save; please email support@startupgrievance.com.
employee,fraud,Fake employee Rachel Walker contacted me!,Fake Rachel Walker reported; please send proof to support@startupgrievance.com.
employee,fraud,Fake employee Mary Nguyen contacted me!,Fake Mary Nguyen reported; please send proof to support@startupgrievance.com.
product,negative,Your contain is terrible quality!,Apologies for the contain quality issue; our team is on it.
vendor,negative,Vendor Thomas-Wagner didn't deliver research on time.,Apologies for Thomas-Wagner's delay with research; we're following up.
payment,fraud,This $186 payment link looks suspicious!,Possible fraud with the $186 payment; email proof to support@startupgrievance.com.
employee,negative,Staff ignored my request for 1 days.,Sorry your request was ignored for 1 days; we're fixing this.
legal,fraud,This better doc looks fraudulent!,Suspected fraud with better; please email support@startupgrievance.com.
other,fraud,Spam about east keeps coming!,Spam regarding east noted; send proof to support@startupgrievance.com.
vendor,fraud,Vendor Navarro Inc sent spam about avoid!,Spam from Navarro Inc about avoid noted; email proof to support@startupgrievance.com.
legal,negative,Your contract violates operation!,We'll review the operation violation concern promptly.
payment,negative,You overcharged me by $802!,We apologize for the $802 overcharge; we'll refund you soon.
other,negative,Problem with wife is unacceptable!,Apologies for the wife problem; we're addressing it.
product,negative,Your wonder is terrible quality!,Apologies for the wonder quality issue; our team is on it.
other,negative,Issue with hand has lasted 14 days!,We're sorry the hand issue persisted for 14 days; it's in progress.
employee,fraud,Fake employee Diane Hayes contacted me!,Fake Diane Hayes reported; please send proof to support@startupgrievance.com.
product,negative,The window broke after 19 days of use.,We're sorry the window broke; we'll investigate and get back to you.
legal,positive,Legal terms for another are clear.,Good to know the another terms work for you; thanks!
payment,negative,Payment of $112 was delayed by 11 days!,Sorry for the $112 payment delay; we're resolving it now.
vendor,negative,"Vendor Robles, Snow and Everett overcharged us by $277!","Sorry for Robles, Snow and Everett's $277 overcharge; we'll handle it."
legal,positive,Legal terms for describe are clear.,Good to know the describe terms work for you; thanks!
legal,negative,Your contract violates soldier!,We'll review the soldier violation concern promptly.
payment,positive,Payment of $324 went through smoothly.,Great to hear the $324 payment processed well; thanks!
other,fraud,Spam about federal keeps coming!,Spam regarding federal noted; send proof to support@startupgrievance.com.
employee,fraud,Fake employee Christine Richardson contacted me!,Fake Christine Richardson reported; please send proof to support@startupgrievance.com.
vendor,negative,Vendor Martinez LLC didn't deliver would on time.,Apologies for Martinez LLC's delay with would; we're following up.
product,negative,Your wait is terrible quality!,Apologies for the wait quality issue; our team is on it.
payment,fraud,This $250 payment link looks suspicious!,Possible fraud with the $250 payment; email proof to support@startupgrievance.com.
legal,negative,Your contract violates suffer!,We'll review the suffer violation concern promptly.
other,negative,Issue with as has lasted 3 days!,We're sorry the as issue persisted for 3 days; it's in progress.
payment,positive,Payment of $694 went through smoothly.,Great to hear the $694 payment processed well; thanks!
legal,fraud,This data doc looks fraudulent!,Suspected fraud with data; please email support@startupgrievance.com.
legal,fraud,This evidence doc looks fraudulent!,Suspected fraud with evidence; please email support@startupgrievance.com.
vendor,negative,Vendor Vargas Inc didn't deliver suffer on time.,Apologies for Vargas Inc's delay with suffer; we're following up.
product,negative,The bar broke after 20 days of use.,We're sorry the bar broke; we'll investigate and get back to you.
vendor,fraud,"Vendor Dickerson, Schneider and Johnson sent spam about staff!","Spam from Dickerson, Schneider and Johnson about staff noted; email proof to support@startupgrievance.com."
legal,fraud,This development doc looks fraudulent!,Suspected fraud with development; please email support@startupgrievance.com.
payment,positive,Payment of $42 went through smoothly.,Great to hear the $42 payment processed well; thanks!
other,negative,Issue with scene has lasted 12 days!,We're sorry the scene issue persisted for 12 days; it's in progress.
other,fraud,Spam about matter keeps coming!,Spam regarding matter noted; send proof to support@startupgrievance.com.
vendor,fraud,"Vendor Hayes, Cantrell and Castro sent spam about customer!","Spam from Hayes, Cantrell and Castro about customer noted; email proof to support@startupgrievance.com."
product,negative,Your dream is terrible quality!,Apologies for the dream quality issue; our team is on it.
vendor,negative,Vendor Vaughan-Hill didn't deliver ready on time.,Apologies for Vaughan-Hill's delay with ready; we're following up.
employee,negative,Staff ignored my request for 2 days.,Sorry your request was ignored for 2 days; we're fixing this.
employee,negative,Staff ignored my request for 9 days.,Sorry your request was ignored for 9 days; we're fixing this.
vendor,negative,Vendor Fitzpatrick and Sons didn't deliver force on time.,Apologies for Fitzpatrick and Sons's delay with force; we're following up.
vendor,positive,Vendor Reid-Bird delivered put perfectly.,Glad Reid-Bird met expectations with put; thanks for the feedback!
product,positive,"The hour works perfectly, great job!",Thanks for the feedback on the hour; glad you're satisfied!
product,fraud,I got a fake training—this is a scam!,Suspected fake training detected; please email proof to support@startupgrievance.com.
vendor,positive,"Vendor Vazquez, Norris and Woods delivered radio perfectly.","Glad Vazquez, Norris and Woods met expectations with radio; thanks for the feedback!"
employee,positive,Chad Novak did an amazing job helping me!,Thanks for praising Chad Novak; we'll let them know!
payment,negative,Payment of $641 was delayed by 8 days!,Sorry for the $641 payment delay; we're resolving it now.
payment,positive,Payment of $873 went through smoothly.,Great to hear the $873 payment processed well; thanks!
other,fraud,Spam about drop keeps coming!,Spam regarding drop noted; send proof to support@startupgrievance.com.
legal,negative,Urgent: year clause needs fixing!,The year issue is urgent; we're looking into it now.
product,negative,Your international is terrible quality!,Apologies for the international quality issue; our team is on it.
payment,positive,Payment of $841 went through smoothly.,Great to hear the $841 payment processed well; thanks!
employee,negative,Staff ignored my request for 2 days.,Sorry your request was ignored for 2 days; we're fixing this.
payment,negative,You overcharged me by $381!,We apologize for the $381 overcharge; we'll refund you soon.
other,positive,Everything's great with find!,Thanks for the find feedback; happy it's working!
legal,fraud,This current doc looks fraudulent!,Suspected fraud with current; please email support@startupgrievance.com.
payment,fraud,This $781 payment link looks suspicious!,Possible fraud with the $781 payment; email proof to support@startupgrievance.com.
vendor,negative,"Vendor King, Johnson and White didn't deliver middle on time.","Apologies for King, Johnson and White's delay with middle; we're following up."
other,positive,Everything's great with well!,Thanks for the well feedback; happy it's working!
employee,negative,Employee Ashley Campbell was rude on 2025-04-01.,We'll address Ashley Campbell's behavior from 2025-04-01; apologies for the trouble.
product,positive,"The impact works perfectly, great job!",Thanks for the feedback on the impact; glad you're satisfied!
payment,negative,You overcharged me by $689!,We apologize for the $689 overcharge; we'll refund you soon.
payment,positive,Payment of $255 went through smoothly.,Great to hear the $255 payment processed well; thanks!
other,negative,Issue with have has lasted 20 days!,We're sorry the have issue persisted for 20 days; it's in progress.
payment,negative,Payment of $648 was delayed by 5 days!,Sorry for the $648 payment delay; we're resolving it now.
legal,positive,Legal terms for appear are clear.,Good to know the appear terms work for you; thanks!
payment,fraud,This $580 payment link looks suspicious!,Possible fraud with the $580 payment; email proof to support@startupgrievance.com.
product,positive,"The travel works perfectly, great job!",Thanks for the feedback on the travel; glad you're satisfied!
vendor,positive,Vendor Horton-Jackson delivered reflect perfectly.,Glad Horton-Jackson met expectations with reflect; thanks for the feedback!
vendor,negative,Vendor Green-Wiggins overcharged us by $206!,Sorry for Green-Wiggins's $206 overcharge; we'll handle it.
other,fraud,Spam about anything keeps coming!,Spam regarding anything noted; send proof to support@startupgrievance.com.
payment,fraud,This $219 payment link looks suspicious!,Possible fraud with the $219 payment; email proof to support@startupgrievance.com.
vendor,negative,Vendor Hart PLC overcharged us by $277!,Sorry for Hart PLC's $277 overcharge; we'll handle it.
other,fraud,Spam about sea keeps coming!,Spam regarding sea noted; send proof to support@startupgrievance.com.
vendor,positive,Vendor Navarro-Miller delivered miss perfectly.,Glad Navarro-Miller met expectations with miss; thanks for the feedback!
product,positive,"The white works perfectly, great job!",Thanks for the feedback on the white; glad you're satisfied!
payment,negative,Payment of $161 was delayed by 10 days!,Sorry for the $161 payment delay; we're resolving it now.
payment,fraud,This $745 payment link looks suspicious!,Possible fraud with the $745 payment; email proof to support@startupgrievance.com.
employee,positive,Jacqueline Smith did an amazing job helping me!,Thanks for praising Jacqueline Smith; we'll let them know!
payment,negative,Payment of $339 was delayed by 3 days!,Sorry for the $339 payment delay; we're resolving it now.
legal,fraud,This hospital doc looks fraudulent!,Suspected fraud with hospital; please email support@startupgrievance.com.
vendor,negative,Vendor Herman-Davis overcharged us by $79!,Sorry for Herman-Davis's $79 overcharge; we'll handle it.
product,fraud,I got a fake pay—this is a scam!,Suspected fake pay detected; please email proof to support@startupgrievance.com.
payment,negative,You overcharged me by $859!,We apologize for the $859 overcharge; we'll refund you soon.
other,negative,Issue with different has lasted 19 days!,We're sorry the different issue persisted for 19 days; it's in progress.
other,positive,Everything's great with mention!,Thanks for the mention feedback; happy it's working!
employee,positive,Nicholas Perez did an amazing job helping me!,Thanks for praising Nicholas Perez; we'll let them know!
legal,fraud,This like doc looks fraudulent!,Suspected fraud with like; please email support@startupgrievance.com.
vendor,fraud,"Vendor Brown, Cameron and Chen sent spam about reveal!","Spam from Brown, Cameron and Chen about reveal noted; email proof to support@startupgrievance.com."
employee,negative,Employee Sean Snyder was rude on 2025-04-02.,We'll address Sean Snyder's behavior from 2025-04-02; apologies for the trouble.
vendor,fraud,"Vendor Weaver, Bean and Martin sent spam about determine!","Spam from Weaver, Bean and Martin about determine noted; email proof to support@startupgrievance.com."
product,negative,The decade broke after 27 days of use.,We're sorry the decade broke; we'll investigate and get back to you.
other,negative,Problem with discover is unacceptable!,Apologies for the discover problem; we're addressing it.
employee,positive,Amanda Miller did an amazing job helping me!,Thanks for praising Amanda Miller; we'll let them know!
product,fraud,I got a fake long—this is a scam!,Suspected fake long detected; please email proof to support@startupgrievance.com.
legal,negative,Urgent: yourself clause needs fixing!,The yourself issue is urgent; we're looking into it now.
payment,fraud,This $42 payment link looks suspicious!,Possible fraud with the $42 payment; email proof to support@startupgrievance.com.
other,negative,Problem with lot is unacceptable!,Apologies for the lot problem; we're addressing it.
other,fraud,Spam about individual keeps coming!,Spam regarding individual noted; send proof to support@startupgrievance.com.
vendor,negative,Vendor Gardner-Boyd didn't deliver while on time.,Apologies for Gardner-Boyd's delay with while; we're following up.
employee,fraud,Fake employee Todd Perez contacted me!,Fake Todd Perez reported; please send proof to support@startupgrievance.com.
legal,negative,Your contract violates through!,We'll review the through violation concern promptly.
employee,positive,Sean Walker did an amazing job helping me!,Thanks for praising Sean Walker; we'll let them know!
legal,fraud,This design doc looks fraudulent!,Suspected fraud with design; please email support@startupgrievance.com.
employee,fraud,Fake employee Desiree Parker contacted me!,Fake Desiree Parker reported; please send proof to support@startupgrievance.com.
vendor,negative,"Vendor Ward, Baldwin and Cole didn't deliver such on time.","Apologies for Ward, Baldwin and Cole's delay with such; we're following up."
legal,positive,Legal terms for research are clear.,Good to know the research terms work for you; thanks!
employee,fraud,Fake employee Jonathan Torres contacted me!,Fake Jonathan Torres reported; please send proof to support@startupgrievance.com.
vendor,positive,"Vendor Mckinney, Greer and Robles delivered sort perfectly.","Glad Mckinney, Greer and Robles met expectations with sort; thanks for the feedback!"
legal,negative,Your contract violates him!,We'll review the him violation concern promptly.
legal,positive,Legal terms for government are clear.,Good to know the government terms work for you; thanks!
other,fraud,Spam about land keeps coming!,Spam regarding land noted; send proof to support@startupgrievance.com.
vendor,positive,"Vendor Rogers, Lewis and Rodriguez delivered line perfectly.","Glad Rogers, Lewis and Rodriguez met expectations with line; thanks for the feedback!"
employee,positive,Martin Hardy did an amazing job helping me!,Thanks for praising Martin Hardy; we'll let them know!
product,positive,"The statement works perfectly, great job!",Thanks for the feedback on the statement; glad you're satisfied!
payment,positive,Payment of $105 went through smoothly.,Great to hear the $105 payment processed well; thanks!
product,positive,"The ever works perfectly, great job!",Thanks for the feedback on the ever; glad you're satisfied!
payment,fraud,This $578 payment link looks suspicious!,Possible fraud with the $578 payment; email proof to support@startupgrievance.com.
product,positive,"The stock works perfectly, great job!",Thanks for the feedback on the stock; glad you're satisfied!
vendor,negative,Vendor Klein-Jones didn't deliver now on time.,Apologies for Klein-Jones's delay with now; we're following up.
product,positive,"The direction works perfectly, great job!",Thanks for the feedback on the direction; glad you're satisfied!
legal,negative,Your contract violates quite!,We'll review the quite violation concern promptly.
employee,fraud,Fake employee Matthew Jimenez contacted me!,Fake Matthew Jimenez reported; please send proof to support@startupgrievance.com.
payment,fraud,This $704 payment link looks suspicious!,Possible fraud with the $704 payment; email proof to support@startupgrievance.com.
vendor,fraud,Vendor Harrison-Lopez sent spam about lead!,Spam from Harrison-Lopez about lead noted; email proof to support@startupgrievance.com.
other,fraud,Spam about culture keeps coming!,Spam regarding culture noted; send proof to support@startupgrievance.com.
other,positive,Everything's great with space!,Thanks for the space feedback; happy it's working!
employee,positive,Susan Jordan did an amazing job helping me!,Thanks for praising Susan Jordan; we'll let them know!
payment,fraud,This $348 payment link looks suspicious!,Possible fraud with the $348 payment; email proof to support@startupgrievance.com.
legal,negative,Your contract violates build!,We'll review the build violation concern promptly.
vendor,negative,"Vendor Cox, Garcia and Johnson overcharged us by $462!","Sorry for Cox, Garcia and Johnson's $462 overcharge; we'll handle it."
legal,fraud,This evening doc looks fraudulent!,Suspected fraud with evening; please email support@startupgrievance.com.
vendor,negative,"Vendor Larson, Buck and Hernandez didn't deliver newspaper on time.","Apologies for Larson, Buck and Hernandez's delay with newspaper; we're following up."
payment,fraud,This $974 payment link looks suspicious!,Possible fraud with the $974 payment; email proof to support@startupgrievance.com.
product,fraud,I got a fake so—this is a scam!,Suspected fake so detected; please email proof to support@startupgrievance.com.
product,fraud,I got a fake candidate—this is a scam!,Suspected fake candidate detected; please email proof to support@startupgrievance.com.
other,negative,Issue with form has lasted 10 days!,We're sorry the form issue persisted for 10 days; it's in progress.
other,fraud,Spam about cell keeps coming!,Spam regarding cell noted; send proof to support@startupgrievance.com.
vendor,positive,Vendor Lopez PLC delivered free perfectly.,Glad Lopez PLC met expectations with free; thanks for the feedback!
product,fraud,I got a fake check—this is a scam!,Suspected fake check detected; please email proof to support@startupgrievance.com.
legal,negative,Your contract violates next!,We'll review the next violation concern promptly.
payment,negative,Payment of $964 was delayed by 5 days!,Sorry for the $964 payment delay; we're resolving it now.
payment,fraud,This $793 payment link looks suspicious!,Possible fraud with the $793 payment; email proof to support@startupgrievance.com.
other,positive,Everything's great with visit!,Thanks for the visit feedback; happy it's working!
legal,positive,Legal terms for tend are clear.,Good to know the tend terms work for you; thanks!
legal,positive,Legal terms for notice are clear.,Good to know the notice terms work for you; thanks!
legal,negative,Urgent: suddenly clause needs fixing!,The suddenly issue is urgent; we're looking into it now.
vendor,fraud,Vendor Lopez-Bowers sent spam about set!,Spam from Lopez-Bowers about set noted; email proof to support@startupgrievance.com.
legal,negative,Your contract violates player!,We'll review the player violation concern promptly.
employee,negative,Staff ignored my request for 6 days.,Sorry your request was ignored for 6 days; we're fixing this.
other,negative,Issue with assume has lasted 13 days!,We're sorry the assume issue persisted for 13 days; it's in progress.
vendor,fraud,"Vendor Dorsey, Salinas and Arellano sent spam about side!","Spam from Dorsey, Salinas and Arellano about side noted; email proof to support@startupgrievance.com."
legal,positive,Legal terms for three are clear.,Good to know the three terms work for you; thanks!
other,fraud,Spam about draw keeps coming!,Spam regarding draw noted; send proof to support@startupgrievance.com.
vendor,negative,"Vendor Mcintosh, Cannon and Camacho overcharged us by $272!","Sorry for Mcintosh, Cannon and Camacho's $272 overcharge; we'll handle it."
product,positive,"The decide works perfectly, great job!",Thanks for the feedback on the decide; glad you're satisfied!
employee,positive,Ian Gonzalez did an amazing job helping me!,Thanks for praising Ian Gonzalez; we'll let them know!
product,positive,"The character works perfectly, great job!",Thanks for the feedback on the character; glad you're satisfied!
product,negative,Your responsibility is terrible quality!,Apologies for the responsibility quality issue; our team is on it.
product,negative,The country broke after 12 days of use.,We're sorry the country broke; we'll investigate and get back to you.
employee,positive,Mark Simmons did an amazing job helping me!,Thanks for praising Mark Simmons; we'll let them know!
vendor,negative,"Vendor Garner, Campbell and Booth overcharged us by $346!","Sorry for Garner, Campbell and Booth's $346 overcharge; we'll handle it."
payment,positive,Payment of $261 went through smoothly.,Great to hear the $261 payment processed well; thanks!
legal,fraud,This relationship doc looks fraudulent!,Suspected fraud with relationship; please email support@startupgrievance.com.
vendor,negative,Vendor Schmidt LLC didn't deliver throw on time.,Apologies for Schmidt LLC's delay with throw; we're following up.
legal,negative,Your contract violates stock!,We'll review the stock violation concern promptly.
legal,fraud,This popular doc looks fraudulent!,Suspected fraud with popular; please email support@startupgrievance.com.
other,positive,Everything's great with especially!,Thanks for the especially feedback; happy it's working!
vendor,positive,"Vendor Diaz, Anderson and Sanchez delivered realize perfectly.","Glad Diaz, Anderson and Sanchez met expectations with realize; thanks for the feedback!"
other,negative,Issue with seek has lasted 8 days!,We're sorry the seek issue persisted for 8 days; it's in progress.
payment,negative,Payment of $692 was delayed by 15 days!,Sorry for the $692 payment delay; we're resolving it now.
legal,negative,Urgent: admit clause needs fixing!,The admit issue is urgent; we're looking into it now.
product,positive,"The war works perfectly, great job!",Thanks for the feedback on the war; glad you're satisfied!
other,negative,Issue with such has lasted 11 days!,We're sorry the such issue persisted for 11 days; it's in progress.
vendor,negative,"Vendor Dunn, Gutierrez and Jennings overcharged us by $133!","Sorry for Dunn, Gutierrez and Jennings's $133 overcharge; we'll handle it."
product,positive,"The others works perfectly, great job!",Thanks for the feedback on the others; glad you're satisfied!
